Gallery Name,Latitude,Longitude
Old Melbourne Gaol Crime,-37.80776441,144.9654639
Victorian Arts Centre,-37.82199473,144.96883730000002
The Ian Potter Centre: NGV Australia,-37.81748314,144.969899
Thoroughbred Racing Gallery,-37.81886627,144.9839701
Fox Classic Car Collection,-37.82137443,144.9484967
Koorie Heritage Trust Inc,-37.81338543,144.9540279
Australian Centre For The Moving Image (ACMI),-37.81761073,144.96907040000002
Blindside Gallery,-37.816711,144.966812
Flinders Lane Gallery,-37.815715000000004,144.970033
Mailbox Art Space,-37.815758,144.969861
RMIT Gallery,-37.8125865,144.95545790000003
Neon Parc,-37.813891999999996,144.96402
Outre Gallery,-37.812816,144.962224
Anna Schwartz Gallery,-37.816047999999995,144.96889
ARC ONE Gallery,-37.81473,144.97308
Gallery Funaki,-37.811609000000004,144.971399
Lesley Kehoe Galleries,-37.814921999999996,144.97052
SpACE@Collins,-37.815775,144.964823
Tolarno Galleries,-37.813133,144.97133
Immigration Museum,-37.81837410000001,144.9592075
National Gallery of Victoria,-37.822594200000005,144.96892780000002
The Dax Centre,-37.7982687,144.9585509
Fortyfivedownstairs Inc,-37.816955799999995,144.97088469999997
Pieces of Eight Gallery,-37.8134924,144.96738380000002
Magnet Galleries Melbourne,-37.8165815,144.9523872
